"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Vol Ontzag,Christian Verwoerd,38,"['christelijk', 'world worship']",0.479,0.329,4,-12.376,0,0.0285,0.851,0.000548,0.112,0.14,96.988
Houd vol - Live,Kees Kraayenoord,38,"['christelijk', 'world worship', 'worship']",0.466,0.32,9,-11.993,1,0.0296,0.761,1.4e-05,0.133,0.226,167.879
Lopen Op Het Water (789) - Live,Stichting Opwekking,39,"['christelijk', 'uwielbienie']",0.453,0.439,2,-10.617,1,0.0364,0.16,3.66e-05,0.115,0.0489,131.763
Ik Zal Er Zijn,Sela,43,"['christelijk', 'world worship']",0.34,0.139,0,-11.623,1,0.0354,0.953,2.18e-06,0.116,0.242,113.432
Vul Dit Huis Met Uw Glorie,InSalvation,41,"['christelijk', 'world worship']",0.406,0.482,9,-7.965,1,0.0316,0.0124,1.01e-06,0.113,0.0578,131.962
Jezus Overwinnaar,Mozaiek Worship,44,"['christelijk', 'world worship']",0.463,0.472,7,-8.505,1,0.0264,0.68,0.000648,0.0811,0.276,133.921
Ik Wens Jou,Trinity (NL),42,"['christelijk', 'world worship']",0.608,0.504,7,-7.158,0,0.0365,0.293,0,0.105,0.702,93.95
Naar Huis,Johnny Sellah,54,"['dutch hip hop', 'dutch trap']",0.483,0.626,5,-8.551,1,0.208,0.571,0,0.139,0.29,127.389
Blessings,ValsBezig,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.764,0.705,7,-4.93,1,0.223,0.261,0,0.213,0.826,110.154
Zin in de lente,Jochem Myjer,39,"['dutch cabaret', 'dutch pop', 'dutch rock']",0.666,0.67,9,-14.702,1,0.167,0.475,0,0.29,0.694,131.95
Iets Anders,Fous,55,[],0.831,0.501,1,-11.854,1,0.091,0.518,0,0.134,0.717,130.013
Ik Probeer Het,Hef,58,['dutch hip hop'],0.884,0.617,0,-5.184,1,0.27,0.0536,1.07e-05,0.103,0.545,94.007
Mkowdin,3WCHi,51,[],0.88,0.806,7,-5.306,1,0.283,0.294,4.86e-06,0.107,0.496,122.089
Mijn Bitch,Kevin,44,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.711,0.569,5,-6.129,1,0.366,0.32,0.00185,0.0675,0.368,74.751
Pull Up,Roxy Rosa,57,['dutch urban'],0.749,0.565,7,-8.088,0,0.0327,0.298,8.95e-05,0.0519,0.888,104.975
Parkeer,DJEZJA,58,"['dutch hip hop', 'dutch urban']",0.608,0.582,6,-11.737,1,0.202,0.116,0.00605,0.39,0.671,78.516
HYENA’S,Idaly,67,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.711,0.694,10,-8.288,0,0.355,0.399,1.69e-06,0.0597,0.393,93.584
Pa Olvidarte,Emma Heesters,75,"['channel pop', 'dutch pop']",0.718,0.86,11,-7.515,1,0.115,0.658,0,0.187,0.914,89.97
Me I Luv,Priceless,59,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.919,0.544,6,-4.244,0,0.0901,0.0128,0.0013,0.101,0.603,103.019
In De Naam Van,Geechi,52,"['dutch hip hop', 'dutch urban']",0.886,0.63,8,-7.657,1,0.227,0.0575,1.32e-05,0.114,0.595,123.965
In Die Life,JoeyAK,70,"['dutch hip hop', 'dutch urban']",0.834,0.615,8,-4.76,0,0.273,0.0134,0,0.0887,0.923,85.041
Toen Ik Je Zag,Jim Bakkum,42,['dutch pop'],0.501,0.326,4,-9.211,1,0.0273,0.793,1.49e-05,0.113,0.208,102.599
Voor Elkaar,Ismo,57,"['dutch hip hop', 'dutch urban']",0.646,0.54,4,-6.029,0,0.373,0.406,0.00048,0.141,0.561,136.882
On The Low,Momi,57,"['dutch hip hop', 'dutch urban']",0.505,0.531,1,-7.665,1,0.472,0.181,3.31e-05,0.126,0.223,177.766
Givenchy Bag - Remix,Ronnie Flex,60,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.579,0.551,4,-6.739,0,0.0717,0.0135,0,0.0795,0.281,126.941
