"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
De Allermooiste Rotstad,Hermes House Band,36,"['bubblegum dance', 'partyschlager']",0.505,0.261,7,-10.505,1,0.0429,0.837,0,0.141,0.506,172.217
Badgyal,AFrance,32,['dutch urban'],0.788,0.595,10,-6.513,0,0.281,0.0145,9.59e-05,0.0909,0.775,100.838
Moni Mi Suku,Broederliefde,51,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.625,0.8,1,-5.916,0,0.127,0.298,0.00149,0.0737,0.358,193.39
Ku Mi Dios,Rich Kalashh,40,"['dutch urban', 'ritmo kombina']",0.817,0.597,11,-8.403,0,0.372,0.0411,0,0.0943,0.486,154.976
Ghetto Love,Evidence,41,[],0.508,0.409,1,-11.821,1,0.106,0.781,0,0.173,0.372,168.142
Ze Doen Ons Na,Figo Gang,53,"['dutch hip hop', 'dutch urban']",0.452,0.435,0,-12.687,1,0.354,0.215,1.02e-06,0.0799,0.602,95.547
ZAG JE STAAN,CHO,45,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.689,0.613,7,-6.978,1,0.463,0.385,0,0.133,0.162,86.678
Fenty,Geechi,48,"['dutch hip hop', 'dutch urban']",0.696,0.599,0,-6.384,0,0.382,0.0415,1.12e-06,0.104,0.445,155.229
Calabasas,De Fellas,47,"['dutch hip hop', 'dutch urban']",0.834,0.553,10,-6.534,0,0.195,0.301,0.00692,0.0932,0.504,138.13
Commando,SydjeBW,35,['dutch drill'],0.681,0.686,7,-8.479,0,0.233,0.148,0.000852,0.291,0.498,148.915
Izakaya,Frsh,51,"['dutch hip hop', 'dutch urban']",0.751,0.535,7,-6.375,0,0.053,0.162,0.0112,0.123,0.391,100.038
Lhe Trairam,Moikanos,24,[],0.965,0.719,0,-3.555,1,0.322,0.0445,9.42e-06,0.107,0.599,128.0
Outro,Lijpe,49,['dutch hip hop'],0.677,0.623,2,-6.339,1,0.241,0.249,0,0.387,0.22,90.244
Reminiscing (Interlude),Blow,40,"['dutch hip hop', 'dutch urban']",0.704,0.328,6,-10.628,1,0.345,0.159,0.000103,0.114,0.364,177.97
Bij Mij (feat. Idaly),Kevin,48,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.632,0.556,11,-4.793,0,0.297,0.314,0.000346,0.106,0.355,118.969
Paranoia,Era,38,"['dutch hip hop', 'dutch trap']",0.641,0.546,1,-6.585,1,0.249,0.616,3.13e-06,0.11,0.617,160.049
Superman,Feis,43,['dutch hip hop'],0.671,0.725,9,-6.482,0,0.284,0.0133,0,0.248,0.276,94.959
Bon Siman,Hef,53,['dutch hip hop'],0.607,0.686,9,-7.436,1,0.368,0.677,0,0.258,0.583,133.562
Nu Meteen,Brasco,46,"['dutch hip hop', 'dutch urban']",0.812,0.749,1,-3.782,0,0.0509,0.475,0,0.0914,0.595,103.026
Controlla,Famodis,22,['dutch urban'],0.899,0.525,11,-6.12,0,0.141,0.0289,0.00688,0.0502,0.401,99.964
Zekerheid,Broertje,41,"['dutch hip hop', 'dutch urban']",0.68,0.587,9,-5.563,0,0.295,0.259,0,0.17,0.631,99.466
Wavey,Momi,38,"['dutch hip hop', 'dutch urban']",0.541,0.669,6,-8.518,1,0.509,0.408,0,0.244,0.689,115.621
Block Is Hot,Zack Ink,37,"['dutch hip hop', 'dutch trap', 'dutch urban']",0.757,0.741,11,-7.434,0,0.202,0.0757,0.293,0.0994,0.622,166.092
Mijn Baby - Zouk,Jayh,40,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.702,0.576,2,-6.048,1,0.0686,0.00859,1.09e-05,0.069,0.754,167.97
Smith & Wesson,ICE,52,"['dutch hip hop', 'dutch urban', 'rif']",0.921,0.606,5,-8.768,1,0.113,0.136,0,0.0947,0.89,117.033
Bando,Jordymone9,43,"['dutch hip hop', 'dutch urban']",0.525,0.722,3,-7.707,0,0.516,0.387,0.000303,0.106,0.109,88.85
Allang,Bravs,29,['dutch urban'],0.747,0.687,11,-7.589,0,0.0732,0.0113,0.0883,0.0998,0.752,113.711
Naar Huis,Johnny Sellah,54,"['dutch hip hop', 'dutch trap']",0.483,0.626,5,-8.551,1,0.208,0.571,0,0.139,0.29,127.389
Nietdoen,Jerra24,42,[],0.733,0.388,2,-12.636,0,0.354,0.325,2.45e-05,0.104,0.249,160.012
Kaki,Equalz,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.816,0.521,10,-9.145,0,0.12,0.266,6.28e-06,0.0639,0.85,100.001
Vol,DJEZJA,51,"['dutch hip hop', 'dutch urban']",0.793,0.578,1,-10.363,1,0.115,0.532,0.00029,0.111,0.371,119.01
They Don't Know,Blacka,55,[],0.712,0.566,5,-8.963,0,0.104,0.166,0.00161,0.119,0.567,149.959
Lotgenoot,Winne,45,['dutch hip hop'],0.664,0.713,8,-7.751,1,0.18,0.00792,0,0.317,0.448,81.034
Babylon,KM,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.689,0.634,0,-7.494,0,0.0335,0.675,0,0.208,0.603,133.976
Mama Prayed,KNALLER,51,"['dutch drill', 'dutch hip hop', 'dutch trap']",0.583,0.836,6,-6.278,0,0.318,0.232,1.57e-05,0.143,0.649,149.436
Uno,Bokke8,55,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.665,0.773,6,-4.455,0,0.283,0.651,4.17e-05,0.196,0.829,99.157
Blacka Money,Willa Icey,31,[],0.686,0.647,1,-11.702,1,0.665,0.0909,0,0.0998,0.65,93.937
Spinquemento,DjangoBeats,34,['dutch urban'],0.809,0.694,10,-9.196,0,0.0553,0.0635,0.327,0.0911,0.655,130.054
Money II,Anu-D,45,"['dutch hip hop', 'dutch urban']",0.736,0.668,10,-7.952,0,0.324,0.0358,0,0.086,0.48,108.019
Wartime,Miyagi,41,['dutch trap'],0.754,0.643,4,-7.703,0,0.356,0.236,0,0.143,0.479,97.065
Betalen,Qlas,47,"['dutch hip hop', 'dutch urban']",0.751,0.569,4,-11.203,0,0.301,0.164,0.000988,0.354,0.438,143.123
YEAH YEAH,Idaly,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.577,0.805,11,-6.217,1,0.4,0.09,0,0.123,0.277,79.096
Droom,Djaga Djaga,54,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.675,0.691,2,-9.353,1,0.31,0.509,0.000162,0.0759,0.0643,119.864
Cypher 19,JayMoreLife,48,"['dutch hip hop', 'dutch urban']",0.786,0.76,1,-7.288,1,0.39,0.0829,0,0.171,0.762,161.919
Sorry,Tsean,32,['ritmo kombina'],0.657,0.685,10,-5.288,1,0.0329,0.22,0,0.172,0.607,159.98
Verslavend,Dylisa,58,"['dutch pop', 'dutch urban']",0.719,0.641,5,-5.2,0,0.078,0.19,9.94e-06,0.344,0.37,90.113
Bend Ova (feat. YXNG LE),Jayboogz,51,"['dutch hip hop', 'dutch urban']",0.839,0.571,6,-6.275,0,0.243,0.106,0.000528,0.0997,0.476,96.096
Gangster Love,JoeyAK,61,"['dutch hip hop', 'dutch urban']",0.816,0.717,0,-4.833,1,0.26,0.00678,3.93e-06,0.317,0.563,179.964
Fuik,Henkie T,60,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.655,0.506,7,-8.401,0,0.331,0.0546,0,0.0881,0.598,97.367
Vibing Girl (feat. Km & Frenna),Eves Laurent,43,"['dutch hip hop', 'dutch urban']",0.789,0.53,0,-8.016,0,0.259,0.164,0,0.171,0.89,94.119
Voor Jou,Kempi,45,"['dutch hip hop', 'dutch urban']",0.585,0.623,4,-7.043,1,0.45,0.338,0,0.181,0.334,118.94
Single (feat. CHO & Equalz),Architrackz,51,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.553,0.533,10,-7.596,0,0.216,0.264,0,0.129,0.712,134.147
Marbella,LouiVos,58,"['dutch hip hop', 'dutch urban', 'ritmo kombina']",0.814,0.603,7,-7.548,0,0.0567,0.528,1.06e-05,0.109,0.445,97.013
Nobody’s Wifey,SXTEEN,50,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.72,0.731,1,-3.995,0,0.233,0.0267,0.000545,0.118,0.714,196.026
25 To Life,SFB,40,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.708,0.791,10,-5.27,0,0.0504,0.186,0,0.125,0.796,94.98
F.I.L. (feat. Idaly),Jack,52,"['dutch hip hop', 'dutch urban']",0.493,0.501,3,-9.766,0,0.275,0.245,0,0.114,0.653,90.685
"Headlock (feat. Yung Nnelg, Cho & Jayh)",SRNO,57,['dutch urban'],0.902,0.499,2,-6.366,1,0.204,0.108,0,0.104,0.565,103.041
Kebber Op Die Deck - Remix,27drillars,29,['dutch drill'],0.796,0.581,9,-8.651,0,0.362,0.268,1.69e-05,0.0907,0.417,140.117
Bid Tot God (feat. Geechi & Spens),Massief,48,['dutch hip hop'],0.645,0.653,6,-7.652,0,0.277,0.423,0.000102,0.212,0.365,100.102
Blessings,ValsBezig,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.764,0.705,7,-4.93,1,0.223,0.261,0,0.213,0.826,110.154
Fallin,BroCode,34,['dutch urban'],0.617,0.383,1,-16.299,0,0.167,0.142,0.0252,0.0829,0.465,192.01
Geen Tijd,Bandoo,45,[],0.821,0.456,2,-18.161,1,0.319,0.222,0,0.123,0.769,142.18
Me I Luv,Priceless,59,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.919,0.544,6,-4.244,0,0.0901,0.0128,0.0013,0.101,0.603,103.019
Zwaar,Aniss,58,"['dutch drill', 'dutch hip hop']",0.865,0.587,10,-7.263,0,0.222,0.414,0,0.129,0.526,97.995
Pull Over,DJ Wale,51,"['dutch hip hop', 'dutch urban']",0.772,0.714,11,-5.905,0,0.24,0.03,0,0.12,0.428,95.064
Babyfever,Defano Holwijn,49,[],0.655,0.562,2,-9.276,0,0.331,0.674,0,0.111,0.55,93.955
Tuti Fruity,Dongo,38,"['dutch urban', 'ritmo kombina']",0.921,0.674,5,-4.376,1,0.158,0.283,5.32e-05,0.099,0.739,98.987
By Cout Tet,BlackBoy,37,[],0.841,0.764,1,-6.453,1,0.277,0.00683,5.59e-05,0.157,0.444,86.694
Tendemi So,Lens,33,[],0.774,0.543,6,-8.534,0,0.206,0.464,0,0.103,0.32,149.985
Geen Controle,Jirraiya,41,['dutch urban'],0.563,0.677,4,-7.999,0,0.161,0.073,0,0.36,0.396,199.725
Comfort Zone,Jonna Fraser,62,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.643,0.701,10,-5.074,0,0.271,0.0585,0,0.104,0.671,94.54
Cavalinho,Danifox,32,[],0.944,0.441,1,-11.887,0,0.24,0.0135,0.66,0.206,0.393,129.98
Praat Met Me (feat. Dystinct),Zefanio,49,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.651,0.723,7,-6.018,0,0.0737,0.258,0.00293,0.12,0.558,98.557
Niet Lang Doen,R.Kay,45,['dutch hip hop'],0.844,0.671,2,-8.476,0,0.056,0.0629,0.0254,0.0928,0.961,103.951
African Queen (feat. Priceless & Bokoesam),Kevcody,42,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.859,0.543,6,-8.077,0,0.102,0.0112,0.0127,0.0796,0.825,112.007
Gvnchy,Hakmadafack,56,['dutch hip hop'],0.766,0.785,11,-9.325,0,0.359,0.0462,0,0.063,0.804,140.099
2 Gedachtes,D-Double,51,"['dutch hip hop', 'dutch trap', 'dutch urban']",0.687,0.527,7,-6.929,1,0.385,0.39,0,0.0969,0.33,102.905
All Night,Denishia Sanches,27,['dutch urban'],0.5,0.656,6,-7.039,0,0.174,0.321,3.52e-05,0.107,0.638,99.949
Nada Riba Mi (feat. Rich),Bartofso,36,"['dutch hip hop', 'dutch urban']",0.819,0.741,6,-4.539,0,0.298,0.0776,0,0.114,0.475,149.98
Intro,Issairo,31,['dutch hip hop'],0.673,0.435,7,-11.529,0,0.551,0.345,0,0.247,0.345,90.494
Van Waar Ik Kom,Jayboogz x NAVI,46,"['dutch hip hop', 'dutch urban']",0.775,0.668,5,-7.607,0,0.609,0.507,1.23e-06,0.12,0.453,170.016
Celine,NAVI,52,"['dutch hip hop', 'dutch urban']",0.757,0.691,0,-6.428,1,0.132,0.308,0,0.0916,0.366,140.042
They Don't Like Us,Fmg,49,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.71,0.719,6,-4.943,1,0.228,0.00303,0,0.317,0.419,104.933
FOTO'S,Mael,47,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.606,0.485,2,-9.233,1,0.706,0.671,0,0.109,0.584,176.426
Gezegd,Vic9,42,"['dutch hip hop', 'dutch trap', 'dutch urban']",0.73,0.531,8,-8.685,1,0.348,0.629,0.00079,0.326,0.301,129.968
Lempte,Sevn Alias,56,['dutch hip hop'],0.903,0.586,5,-9.036,0,0.0784,0.391,0.00526,0.118,0.521,125.953
Niks Aan Doen,Fatah,46,['dutch hip hop'],0.802,0.522,1,-6.816,1,0.134,0.145,0,0.0559,0.54,97.982
Pull Up,Roxy Rosa,57,['dutch urban'],0.749,0.565,7,-8.088,0,0.0327,0.298,8.95e-05,0.0519,0.888,104.975
Mkowdin,3WCHi,51,[],0.88,0.806,7,-5.306,1,0.283,0.294,4.86e-06,0.107,0.496,122.089
Kan Gewoon,Manolo,53,['dutch hip hop'],0.774,0.457,7,-12.507,1,0.342,0.22,2.39e-05,0.416,0.583,96.023
Badman,Chavanté,54,['dutch urban'],0.7,0.544,7,-7.965,1,0.157,0.0456,0.000252,0.0717,0.491,107.809
Bye Bye,Oualid,41,"['dutch hip hop', 'dutch urban', 'moroccan pop', 'rif']",0.67,0.494,9,-7.709,1,0.0442,0.31,0,0.131,0.624,95.053
Seeka,Monsif,44,"['dutch pop', 'dutch urban']",0.804,0.57,7,-5.312,1,0.0875,0.0586,0.367,0.121,0.306,100.037
Geen Probleem (feat. ICE),Ali B,51,"['dutch hip hop', 'dutch pop', 'dutch rock']",0.904,0.649,5,-4.022,0,0.278,0.316,0,0.153,0.803,139.999
Falling,L CIANO,44,"['dutch hip hop', 'dutch urban']",0.683,0.605,11,-8.436,0,0.0898,0.157,1.44e-05,0.112,0.695,180.005
Trap Freestyle Part 1 (Trap Van Vroeger),Mula B,62,"['dutch hip hop', 'dutch urban']",0.796,0.636,11,-7.618,1,0.305,0.0112,0,0.0907,0.479,91.844
Bae,Anth,37,['dutch r&b'],0.681,0.663,11,-5.456,0,0.181,0.0391,4.32e-05,0.223,0.292,191.942
Love 66,Twin n Twice,50,"['moroccan pop', 'rif']",0.751,0.755,8,-2.4,0,0.0534,0.0671,6.54e-06,0.433,0.799,95.0
Pauze,Glades,48,"['dutch hip hop', 'dutch urban', 'rif']",0.924,0.872,11,-3.322,0,0.223,0.0615,1.39e-05,0.126,0.577,105.038
Pak Koh,Kosso,47,"['dutch hip hop', 'dutch urban']",0.624,0.623,10,-5.292,0,0.455,0.266,0,0.0482,0.61,93.974
