"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Ze Doen Ons Na,Figo Gang,53,"['dutch hip hop', 'dutch urban']",0.452,0.435,0,-12.687,1,0.354,0.215,1.02e-06,0.0799,0.602,95.547
They Don't Know,Blacka,55,[],0.712,0.566,5,-8.963,0,0.104,0.166,0.00161,0.119,0.567,149.959
"One, Two, Three",Broederliefde,55,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.48,0.659,2,-7.464,1,0.127,0.218,1.01e-05,0.184,0.372,91.155
De Straten Zijn Koud,Qlas,56,"['dutch hip hop', 'dutch urban']",0.793,0.469,1,-11.122,1,0.28,0.238,0.000348,0.0988,0.275,142.056
Search & Destroy,Hyena,43,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.854,0.676,3,-5.938,0,0.245,0.412,1.79e-06,0.101,0.501,143.999
Verboden,KM,53,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.541,0.614,9,-5.979,1,0.0773,0.114,0,0.0499,0.36,103.409
Badman,Chavanté,54,['dutch urban'],0.7,0.544,7,-7.965,1,0.157,0.0456,0.000252,0.0717,0.491,107.809
Gevoel,Dylisa,51,"['dutch pop', 'dutch urban']",0.616,0.565,8,-7.777,1,0.515,0.837,0,0.137,0.859,77.287
In Die Life,JoeyAK,70,"['dutch hip hop', 'dutch urban']",0.834,0.615,8,-4.76,0,0.273,0.0134,0,0.0887,0.923,85.041
Ik Mis Je,Architrackz,53,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.679,0.568,11,-7.564,0,0.106,0.4,3.59e-05,0.0732,0.712,188.066
Uno,Bokke8,55,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.665,0.773,6,-4.455,0,0.283,0.651,4.17e-05,0.196,0.829,99.157
My Bébé,Bryan Mg,70,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.806,0.632,6,-4.408,0,0.0592,0.0945,0,0.0818,0.431,68.747
DomDoen,Henkie T,65,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.806,0.69,3,-7.74,0,0.123,0.0939,0,0.0768,0.83,100.111
Omhoog,Esko,64,"['dutch hip hop', 'dutch urban']",0.695,0.755,5,-6.268,0,0.242,0.0218,0,0.159,0.73,93.896
Nacht Actief,Sevn Alias,58,['dutch hip hop'],0.839,0.764,9,-4.996,0,0.0935,0.0106,0.000878,0.24,0.537,140.059
Only You,Frenna,64,"['dutch hip hop', 'dutch pop']",0.852,0.554,6,-5.224,1,0.202,0.0128,8e-05,0.0678,0.847,94.985
Plankgas,Snelle,61,"['dutch hip hop', 'dutch pop']",0.54,0.604,1,-8.835,1,0.37,0.244,0,0.107,0.554,93.748
Is Dit Over,Ronnie Flex,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.621,0.522,7,-8.232,1,0.0756,0.338,5.42e-06,0.122,0.331,97.385
Wat Is Je Naam,Yxng Le,69,['dutch urban'],0.626,0.735,1,-7.13,1,0.0888,0.0203,0,0.162,0.763,199.799
On It,Equalz,48,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.742,0.419,5,-7.416,0,0.127,0.257,0,0.102,0.709,98.102
Dior Money,Jonna Fraser,63,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.836,0.737,11,-4.954,0,0.262,0.0598,0.00181,0.284,0.473,93.042
Donker,Young Ellens,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.916,0.729,1,-5.618,1,0.286,0.283,1.3e-05,0.132,0.67,105.031
Geen Rem,Mensa,50,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.844,0.828,8,-6.636,1,0.0536,0.0893,4.73e-06,0.174,0.665,126.005
Roller Coaster,Danny Vera,70,"['dutch americana', 'dutch indie', 'dutch pop', 'dutch rock', 'dutch singer-songwriter', 'nederpop']",0.4,0.383,9,-10.048,1,0.0279,0.51,0.00763,0.121,0.285,96.944
Kilometers,Kevin,61,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.695,0.851,10,-3.986,0,0.163,0.0329,1.22e-06,0.246,0.466,170.054
Ze Huilt Maar Ze Lacht,Maan,73,"['dutch pop', 'dutch rock']",0.56,0.36,8,-13.116,1,0.0336,0.853,9.92e-06,0.112,0.178,78.08
Pa Olvidarte,Emma Heesters,75,"['channel pop', 'dutch pop']",0.718,0.86,11,-7.515,1,0.115,0.658,0,0.187,0.914,89.97
Walou Crisis (feat. 3robi & Mula B),Dopebwoy,60,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.67,0.639,4,-7.238,0,0.164,0.218,0.000379,0.302,0.799,118.034
BUK,ValsBezig,55,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.847,0.578,5,-5.49,0,0.272,0.0893,0,0.0485,0.828,102.073
Ride or Die,Djaga Djaga,60,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.521,0.459,5,-14.136,0,0.361,0.44,6.48e-05,0.125,0.338,175.989
Speling,DJ DYLVN,59,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.868,0.568,7,-4.434,0,0.0822,0.0267,0,0.0741,0.682,97.931
Mbappe,Lirical,58,[],0.873,0.491,1,-4.88,1,0.0694,0.00843,2.84e-06,0.0347,0.434,126.035
24/7,Saffehbeats,61,['dutch urban'],0.785,0.605,6,-6.332,0,0.332,0.0363,0.0298,0.32,0.567,202.115
Tijdbom,Jack,55,"['dutch hip hop', 'dutch urban']",0.522,0.658,9,-7.658,1,0.138,0.315,0,0.229,0.417,119.933
BON VIBES,Chip Charlez,63,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.727,0.698,1,-5.613,1,0.127,0.125,0,0.153,0.663,105.286
FOTO'S,Mael,47,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.606,0.485,2,-9.233,1,0.706,0.671,0,0.109,0.584,176.426
Waarom Zoeken Naar Liefde,Josylvio,62,"['dutch hip hop', 'dutch pop']",0.603,0.596,10,-5.953,0,0.163,0.364,1.41e-05,0.107,0.568,187.512
Shutdown,SFB,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.89,0.519,0,-5.783,0,0.167,0.0694,2.01e-05,0.119,0.772,107.99
Lippenstift,Marco Borsato,73,"['dutch cabaret', 'dutch pop', 'dutch rock']",0.711,0.613,5,-5.374,1,0.0535,0.0572,2.98e-06,0.203,0.703,95.017
birthday,Idaly,53,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.758,0.672,9,-6.919,0,0.089,0.178,0,0.144,0.749,120.081
Zegen,Jairzinho,61,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.767,0.741,7,-5.884,0,0.272,0.231,3.92e-06,0.136,0.451,105.049
Je Kent ’t Wel,Chivv,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.865,0.915,7,-4.987,1,0.172,0.0215,0,0.11,0.729,120.032
